"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
329,"2019-05-01 07:08:06.2890","2019-05-01 07:13:35.8920",3678,"Fairmount Ave",40.72572613742557,-74.07195925712585,3195,"Sip Ave",40.73089709786179,-74.06391263008118,26290,"Subscriber",1995,1
420,"2019-05-01 07:09:31.6230","2019-05-01 07:16:32.2910",3280,"Astor Place",40.71928220070702,-74.07126188278198,3195,"Sip Ave",40.73089709786179,-74.06391263008118,29673,"Subscriber",1983,1
260,"2019-05-01 07:10:36.5440","2019-05-01 07:14:56.5740",3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26189,"Subscriber",1978,1
168,"2019-05-01 07:10:37.0550","2019-05-01 07:13:25.3750",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29437,"Subscriber",1977,2
225,"2019-05-01 07:11:08.6890","2019-05-01 07:14:54.2510",3638,"Washington St",40.7242941,-74.0354826,3199,"Newport Pkwy",40.7287448,-74.0321082,29662,"Subscriber",1992,1
208,"2019-05-01 07:11:10.8920","2019-05-01 07:14:39.6490",3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29622,"Subscriber",1985,1
770,"2019-05-01 07:11:34.5670","2019-05-01 07:24:24.8110",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3185,"City Hall",40.7177325,-74.043845,29681,"Customer",1969,0
320,"2019-05-01 07:11:46.8150","2019-05-01 07:17:07.3970",3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29239,"Subscriber",1987,2
110,"2019-05-01 07:12:30.8720","2019-05-01 07:14:21.5490",3199,"Newport Pkwy",40.7287448,-74.0321082,3202,"Newport PATH",40.7272235,-74.0337589,29227,"Subscriber",1990,1
650,"2019-05-01 07:13:17.5370","2019-05-01 07:24:07.5650",3187,"Warren St",40.7211236,-74.03805095,3225,"Baldwin at Montgomery",40.7236589,-74.0641943,26226,"Subscriber",1984,1
100,"2019-05-01 07:13:29.3670","2019-05-01 07:15:09.4130",3183,"Exchange Place",40.7162469,-74.0334588,3639,"Harborside",40.7192517,-74.034234,29550,"Subscriber",1994,1
232,"2019-05-01 07:15:28.5110","2019-05-01 07:19:20.6830",3203,"Hamilton Park",40.727595966,-74.044247311,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,37987,"Subscriber",1979,1
144,"2019-05-01 07:16:17.7110","2019-05-01 07:18:41.8590",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3184,"Paulus Hook",40.7141454,-74.0335519,29524,"Subscriber",1969,0
180,"2019-05-01 07:17:13.3450","2019-05-01 07:20:14.1160",3209,"Brunswick St",40.7241765,-74.0506564,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29252,"Subscriber",1989,1
147,"2019-05-01 07:17:14.6440","2019-05-01 07:19:42.5030",3214,"Essex Light Rail",40.7127742,-74.0364857,3183,"Exchange Place",40.7162469,-74.0334588,26264,"Subscriber",1984,1
317,"2019-05-01 07:18:04.6980","2019-05-01 07:23:22.5910",3207,"Oakland Ave",40.7376037,-74.0524783,3640,"Journal Square",40.73367,-74.0625,29242,"Subscriber",1994,1
328,"2019-05-01 07:18:48.6050","2019-05-01 07:24:17.5130",3203,"Hamilton Park",40.727595966,-74.044247311,3202,"Newport PATH",40.7272235,-74.0337589,29472,"Subscriber",1993,1
2311,"2019-05-01 07:19:46.6960","2019-05-01 07:58:18.6330",3275,"Columbus Drive",40.71835519823214,-74.03891444206238,3639,"Harborside",40.7192517,-74.034234,29535,"Subscriber",1987,1
608,"2019-05-01 07:20:18.4290","2019-05-01 07:30:27.0950",3268,"Lafayette Park",40.71346382669195,-74.06285852193832,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29669,"Subscriber",1985,1
323,"2019-05-01 07:20:57.2050","2019-05-01 07:26:21.1700",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3195,"Sip Ave",40.73089709786179,-74.06391263008118,29593,"Subscriber",1996,2
182,"2019-05-01 07:22:18.2040","2019-05-01 07:25:20.9120",3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29481,"Subscriber",1956,1
188,"2019-05-01 07:22:28.2500","2019-05-01 07:25:36.7700",3272,"Jersey & 3rd",40.72333158646436,-74.04595255851744,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29596,"Subscriber",1985,1
187,"2019-05-01 07:22:37.5230","2019-05-01 07:25:45.4960",3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26266,"Subscriber",1969,1
550,"2019-05-01 07:23:34.0230","2019-05-01 07:32:44.3330",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3679,"Bergen Ave",40.722103786686034,-74.07145500183105,29668,"Subscriber",1964,1
154,"2019-05-01 07:23:36.7080","2019-05-01 07:26:11.1160",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29513,"Subscriber",1975,1
40290,"2019-05-01 07:23:39.5570","2019-05-01 18:35:10.4100",3192,"Liberty Light Rail",40.7112423,-74.0557013,3195,"Sip Ave",40.73089709786179,-74.06391263008118,29610,"Customer",1989,2
134,"2019-05-01 07:24:04.8850","2019-05-01 07:26:19.8530",3483,"Montgomery St",40.71942,-74.05099,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29473,"Subscriber",1963,2
93,"2019-05-01 07:24:50.0290","2019-05-01 07:26:23.7790",3639,"Harborside",40.7192517,-74.034234,3183,"Exchange Place",40.7162469,-74.0334588,26201,"Subscriber",1969,0
264,"2019-05-01 07:25:21.9600","2019-05-01 07:29:46.7560",3272,"Jersey & 3rd",40.72333158646436,-74.04595255851744,3639,"Harborside",40.7192517,-74.034234,29241,"Subscriber",1984,2
508,"2019-05-01 07:25:36.2900","2019-05-01 07:34:04.9870",3195,"Sip Ave",40.73089709786179,-74.06391263008118,3194,"McGinley Square",40.7253399253558,-74.06762212514877,26290,"Subscriber",1960,1
501,"2019-05-01 07:25:41.1570","2019-05-01 07:34:02.1810",3280,"Astor Place",40.71928220070702,-74.07126188278198,3195,"Sip Ave",40.73089709786179,-74.06391263008118,29578,"Subscriber",1986,1
268,"2019-05-01 07:27:45.3950","2019-05-01 07:32:14.3050",3187,"Warren St",40.7211236,-74.03805095,3183,"Exchange Place",40.7162469,-74.0334588,26298,"Subscriber",1976,1
277,"2019-05-01 07:28:06.7820","2019-05-01 07:32:44.0940",3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29675,"Subscriber",1973,1
187,"2019-05-01 07:28:13.8840","2019-05-01 07:31:21.7620",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3195,"Sip Ave",40.73089709786179,-74.06391263008118,29609,"Subscriber",1966,1
292,"2019-05-01 07:28:21.1620","2019-05-01 07:33:13.9220",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3183,"Exchange Place",40.7162469,-74.0334588,29504,"Subscriber",1955,1
330,"2019-05-01 07:28:45.9280","2019-05-01 07:34:16.8020",3639,"Harborside",40.7192517,-74.034234,3199,"Newport Pkwy",40.7287448,-74.0321082,29494,"Subscriber",1992,2
130,"2019-05-01 07:29:17.6250","2019-05-01 07:31:27.7570",3681,"Grand St",40.71517767732029,-74.03768330812454,3183,"Exchange Place",40.7162469,-74.0334588,29448,"Subscriber",1974,1
463,"2019-05-01 07:30:03.1410","2019-05-01 07:37:46.5540",3192,"Liberty Light Rail",40.7112423,-74.0557013,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29477,"Subscriber",1985,1
636,"2019-05-01 07:31:59.5730","2019-05-01 07:42:35.8000",3193,"Lincoln Park",40.7246050998869,-74.07840594649315,3195,"Sip Ave",40.73089709786179,-74.06391263008118,29623,"Subscriber",1992,1
257,"2019-05-01 07:33:32.5120","2019-05-01 07:37:50.0540",3483,"Montgomery St",40.71942,-74.05099,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26239,"Subscriber",1972,2
186,"2019-05-01 07:33:51.9180","2019-05-01 07:36:58.4260",3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29500,"Subscriber",1982,1
251,"2019-05-01 07:33:58.0820","2019-05-01 07:38:09.1710",3203,"Hamilton Park",40.727595966,-74.044247311,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29518,"Subscriber",1977,1
263,"2019-05-01 07:34:48.9930","2019-05-01 07:39:12.0110",3205,"JC Medical Center",40.71653978099194,-74.0496379137039,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29608,"Subscriber",1989,1
224,"2019-05-01 07:36:01.5530","2019-05-01 07:39:46.4990",3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,3273,"Manila & 1st",40.721650724879986,-74.04288411140442,26178,"Subscriber",1982,1
369,"2019-05-01 07:36:32.0270","2019-05-01 07:42:41.6140",3207,"Oakland Ave",40.7376037,-74.0524783,3195,"Sip Ave",40.73089709786179,-74.06391263008118,26195,"Customer",1993,1
215,"2019-05-01 07:36:39.6360","2019-05-01 07:40:15.5710",3209,"Brunswick St",40.7241765,-74.0506564,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29307,"Subscriber",1980,2
506,"2019-05-01 07:36:52.1930","2019-05-01 07:45:18.6320",3277,"Communipaw & Berry Lane",40.71435836870427,-74.06661093235016,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29447,"Subscriber",1982,1
219,"2019-05-01 07:37:56.1340","2019-05-01 07:41:35.1340",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3185,"City Hall",40.7177325,-74.043845,26162,"Subscriber",1976,1
453,"2019-05-01 07:38:04.6890","2019-05-01 07:45:38.4670",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3183,"Exchange Place",40.7162469,-74.0334588,29434,"Subscriber",1986,1
408,"2019-05-01 07:38:36.6030","2019-05-01 07:45:25.2300",3209,"Brunswick St",40.7241765,-74.0506564,3199,"Newport Pkwy",40.7287448,-74.0321082,29671,"Subscriber",1985,1
135,"2019-05-01 07:39:59.2850","2019-05-01 07:42:14.7940",3681,"Grand St",40.71517767732029,-74.03768330812454,3275,"Columbus Drive",40.71835519823214,-74.03891444206238,26252,"Subscriber",1994,1
320,"2019-05-01 07:40:22.6080","2019-05-01 07:45:42.7740",3203,"Hamilton Park",40.727595966,-74.044247311,3202,"Newport PATH",40.7272235,-74.0337589,29209,"Subscriber",1992,2
192,"2019-05-01 07:40:31.5730","2019-05-01 07:43:44.5690",3681,"Grand St",40.71517767732029,-74.03768330812454,3183,"Exchange Place",40.7162469,-74.0334588,26173,"Subscriber",1988,2
682,"2019-05-01 07:40:57.6430","2019-05-01 07:52:20.3560",3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29198,"Subscriber",1957,2
140,"2019-05-01 07:42:23.7140","2019-05-01 07:44:44.3860",3196,"Riverview Park",40.7443187,-74.0439909,3198,"Heights Elevator",40.748715945380226,-74.04044330120087,29308,"Subscriber",1989,1
